country,year,HAE
HRV,2019,0.4422935605027603
HRV,2020,0.22010969112590426
HRV,2021,0.6092376392270459
HRV,2022,0.4051168008578012
HTI,2009,
HTI,2010,
HTI,2011,
HTI,2012,
HTI,2013,
HTI,2014,
HTI,2015,
HTI,2016,
HTI,2017,
HTI,2018,
HTI,2019,
HTI,2020,
HTI,2021,
HTI,2022,
HUN,2009,0.3430246548505818
HUN,2010,1.0
HUN,2011,0.9247405067834787
HUN,2012,0.969000858102329
HUN,2013,0.3683444662604931
HUN,2014,1.0
HUN,2015,0.7245649861998431
HUN,2016,1.0
HUN,2017,1.0
HUN,2018,1.0
HUN,2019,1.0
HUN,2020,1.0
HUN,2021,1.0
HUN,2022,0.28731206985397373
IDN,2009,0.08241495141955889
IDN,2010,0.10759008446794185
IDN,2011,0.12229900528532783
IDN,2012,0.11850413225420692
IDN,2013,0.13138086536099025
IDN,2014,0.13572087488639473
IDN,2015,0.1230352227862152
IDN,2016,0.09063098609625596
IDN,2017,0.10034455928223893
IDN,2018,0.10456515940707273
IDN,2019,0.10864236675293339
IDN,2020,0.10171563352802346
IDN,2021,0.09837606607102645
IDN,2022,0.10351243018134257
IND,2009,0.11202126559318817
IND,2010,0.08676006526259968
IND,2011,0.08887301491084898
IND,2012,0.0706185743347587
IND,2013,0.06722667475713955
IND,2014,0.08037543413828553
IND,2015,0.08398654959969346
IND,2016,0.0781461838393038
IND,2017,0.07351158759587892
IND,2018,0.0746127516222341
IND,2019,0.0799648813108116
IND,2020,0.09144053913286218
IND,2021,0.07412896583401798
IND,2022,0.07467614050600788
IRL,2009,1.0
IRL,2010,1.0
IRL,2011,0.6977852129868516
IRL,2012,1.0
IRL,2013,1.0
IRL,2014,1.0
IRL,2015,1.0
IRL,2016,1.0
IRL,2017,1.0
IRL,2018,1.0
IRL,2019,1.0
IRL,2020,1.0
IRL,2021,1.0
IRL,2022,0.5351691088717165
IRN,2009,0.049574097796817686
IRN,2010,0.05321523721683909
IRN,2011,0.04805250438121142
IRN,2012,0.06229382939099088
IRN,2013,0.04315414384140618
IRN,2014,0.030413229112627414
IRN,2015,0.035349219312118485
IRN,2016,0.04841873698654911
IRN,2017,0.06656670722569069
IRN,2018,0.03961449347573017
IRN,2019,0.03051482224915207
IRN,2020,0.03370633660522929
IRN,2021,0.02465697499019399
IRN,2022,0.025236856084959368
IRQ,2009,0.09972154719926789
IRQ,2010,0.07320897053217948
IRQ,2011,0.08786018563646537
IRQ,2012,0.11895889346656544
IRQ,2013,0.07280444906087967
IRQ,2014,0.30406263664111
IRQ,2015,0.3086770176098838
IRQ,2016,0.26228699481661105
IRQ,2017,0.18197001282239342
IRQ,2018,0.14876065374273423
IRQ,2019,0.09330179228252429
IRQ,2020,0.11079122843882093
IRQ,2021,0.08812609979124543
IRQ,2022,0.05397181169736543
ISL,2009,1.0
ISL,2010,1.0
ISL,2011,0.4898054390848612
ISL,2012,1.0
ISL,2013,0.4102866204686718
ISL,2014,0.29105628235346326
ISL,2015,0.6012440769736089
ISL,2016,0.9094849503838831
ISL,2017,1.0
ISL,2018,0.19353048542611548
ISL,2019,0.18755870482710751
ISL,2020,0.3799334145910996
ISL,2021,0.1126286007358335
ISL,2022,0.3725426151127455
ISR,2009,
ISR,2010,
ISR,2011,
ISR,2012,
ISR,2013,
ISR,2014,
ISR,2015,
ISR,2016,
ISR,2017,
ISR,2018,
ISR,2019,
ISR,2020,
ISR,2021,
ISR,2022,
ITA,2009,0.1055340495428332
ITA,2010,0.12637014058558566
ITA,2011,0.24949904664881906
ITA,2012,0.021709175748065388
ITA,2013,0.1232479025639081
ITA,2014,0.11506241773164358
ITA,2015,0.10377993066413911
ITA,2016,0.13889413631018127
ITA,2017,0.0695217146780177
ITA,2018,0.26326343633099236
ITA,2019,0.241647445941442
ITA,2020,0.07615147710701281
ITA,2021,0.25790194411196604
ITA,2022,0.34585426353168636
JAM,2009,0.2698270108216883
JAM,2010,0.10191216585364571
JAM,2011,0.0931542123758935
JAM,2012,0.2265671407918989
JAM,2013,0.2895437814439971
JAM,2014,0.30775292880019434
JAM,2015,0.42734437741245385
JAM,2016,0.5360819390467135
JAM,2017,0.3899270083882745
JAM,2018,0.3113894677644217
JAM,2019,0.43517319538241034
JAM,2020,0.12079526005126454
JAM,2021,0.1572862379137707
JAM,2022,0.1343098170406773
JOR,2009,0.6033666034095901
JOR,2010,0.378959693711926
JOR,2011,0.30982186666638845
JOR,2012,0.29721336133169496
JOR,2013,0.3454080751274712
JOR,2014,0.37199547462258364
JOR,2015,0.25180697640873734
JOR,2016,0.23746862877737818
JOR,2017,0.2981311890355811
JOR,2018,0.1352753529512405
JOR,2019,0.10596138153379699
JOR,2020,0.10940825568368881
JOR,2021,0.0838539759196473
JOR,2022,0.13509831242802725
JPN,2009,0.08819312718828543
JPN,2010,0.08597378387781096
JPN,2011,0.09348303739655406
JPN,2012,0.09331701105614751
JPN,2013,0.11909699272749211
JPN,2014,0.11925077204268017
JPN,2015,0.11936715140747776
JPN,2016,0.1419292428747449
JPN,2017,0.1324365365427696
JPN,2018,0.12798180155353484
JPN,2019,0.16970903497723439
JPN,2020,0.1379791148671664
JPN,2021,0.14965561287680762
JPN,2022,0.15631405942789078
KAZ,2009,1.0
KAZ,2010,0.5064594489415221
KAZ,2011,0.6554287404606527
KAZ,2012,0.4948886113789752
KAZ,2013,0.3377417647461146
KAZ,2014,0.29933615222192067
KAZ,2015,0.3577303971817049
KAZ,2016,1.0
KAZ,2017,0.2283653228416943
KAZ,2018,0.18559048549281734
KAZ,2019,0.21667560483678666
KAZ,2020,0.33264821056210275
KAZ,2021,0.24459122598375735
KAZ,2022,0.234582093367668
KEN,2009,0.02554208305786376
KEN,2010,0.02637595686248299
KEN,2011,0.21854512288244934
KEN,2012,0.19132873061268876
KEN,2013,0.14241457542212416
KEN,2014,0.0874809963644584
KEN,2015,0.08192732027895246
KEN,2016,0.05225663110745919
KEN,2017,0.11832092810329929
KEN,2018,0.05574502896503519
KEN,2019,0.03368367324958702
KEN,2020,0.025641864829200958
KEN,2021,0.074324647310955
KEN,2022,0.07763364847035775
KGZ,2009,0.26956946417850713
KGZ,2010,0.6818901229005488
KGZ,2011,0.7417542619373236
KGZ,2012,0.2796402791486877
KGZ,2013,0.5626539852710316
KGZ,2014,0.40669492268551083
KGZ,2015,1.0
KGZ,2016,0.645299053565973
KGZ,2017,0.11794780406058941
KGZ,2018,0.12023970011109059
KGZ,2019,0.3351165390770693
KGZ,2020,0.4694656995188756
KGZ,2021,0.4041621649894497
KGZ,2022,0.27988677163831244
KHM,2009,0.235527526688565
KHM,2010,0.290376890075326
KHM,2011,0.2796072369453084
KHM,2012,0.3111089610621613
KHM,2013,0.29914864752036496
KHM,2014,0.25962668347987017
KHM,2015,0.2420666604148039
KHM,2016,0.2764188795987427
KHM,2017,0.28177731473021755
KHM,2018,0.2853279377356353
KHM,2019,0.2892519542428852
KHM,2020,0.2995005984511444
KHM,2021,0.2783932221169231
KHM,2022,0.2704913677103625
