country,year,V,V_star,R
OMN,2015,0.23014499840925978,0.20010969812598073,0.2610119749799488
OMN,2016,0.2624022634186279,0.21493121911772572,0.36181886301162275
OMN,2017,0.43771800528199734,0.3850987647769209,0.24042529605871152
OMN,2018,0.4330962666037733,0.38063633668385877,0.24225528578803737
OMN,2019,0.2284238968473602,0.20058265796658717,0.24376818069413628
OMN,2020,0.2574155300230923,0.2298135090613621,0.21445497837099486
OMN,2021,0.5899539450520841,0.5139311208956124,0.2577246064513053
OMN,2022,1.0,0.9144527902641166,0.17109441947176668
PAK,2009,0.09957781491112362,0.08983081346277438,0.19576652604897493
PAK,2010,0.08597637565644586,0.07618567707763656,0.2277532288156013
PAK,2011,0.05416553599074647,0.04884838384223131,0.19632971598115584
PAK,2012,0.04000433197864328,0.03725305492904112,0.1375489560016127
PAK,2013,0.06331496202302361,0.06143103521024096,0.05950968783958498
PAK,2014,0.08052858786894052,0.07507652974715873,0.1354067733226605
PAK,2015,0.10072639899096203,0.09007519224849336,0.21148788895797554
PAK,2016,0.13203114000207664,0.11746812648063845,0.22059967854869902
PAK,2017,0.1410949041808357,0.13122988385595752,0.13983524610122822
PAK,2018,0.12758189460812533,0.12309586235591113,0.07032396353719758
PAK,2019,0.15642856861497553,0.14577814054626426,0.1361698590354764
PAK,2020,0.16646808770613475,0.1514684567218506,0.1802102876409913
PAK,2021,0.23473542797660088,0.2169449533736458,0.1515789478930168
PAK,2022,0.06977796691926628,0.06823152318039123,0.04432470039330054
PAN,2009,0.5042074481878408,0.4885842235545191,0.061971415493653446
PAN,2010,0.44909589349094503,0.44120086145462334,0.03515967146771913
PAN,2011,0.45239830923053526,0.45030669009522495,0.009246803503169084
PAN,2012,0.656931870112561,0.6540004190047253,0.008924673139494512
PAN,2013,0.47397401852710086,0.4701546171716117,0.016116500931245573
PAN,2014,0.4850543297698348,0.4761082520039346,0.036886910256611005
PAN,2015,0.49130881883266064,0.4831319377823632,0.03328611552190545
PAN,2016,0.5065439831053055,0.49496642274079505,0.04571196480722401
PAN,2017,0.5083176546804137,0.5035261943103639,0.018852228821610324
PAN,2018,0.5061674151112876,0.5052421397105101,0.0036560053972421497
PAN,2019,0.507057532795921,0.49901474211475577,0.031723385063691746
PAN,2020,0.4347339744340944,0.37603906840439066,0.27002677260781627
PAN,2021,0.27682593010489676,0.2541838430448261,0.16358357074058047
PAN,2022,0.5626377272242893,0.5386110565534868,0.08540725055653595
PER,2009,0.4169587564766969,0.29316969161770745,0.5937712684343533
PER,2010,0.4342797791526932,0.30443604890264975,0.5979727193533011
PER,2011,0.3480447152176401,0.2551339299985985,0.5339014279296979
PER,2012,0.42989340747944854,0.2908601299432463,0.6468267487579413
PER,2013,0.3720875241322921,0.2499651273503074,0.6564175838293643
PER,2014,0.23020225074252937,0.15440931555277052,0.6584899578113143
PER,2015,0.3632031384498759,0.23245472674059256,0.7199740193177179
PER,2016,0.3755463673324233,0.23778628153665893,0.7336515422811849
PER,2017,0.3621320672758376,0.24124949079187255,0.667615974433373
